;number_row;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustSpeed;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;RainToday;year;month;day;week;E;ENE;ESE;N;NE;NNE;NNW;NW;S;SE;SSE;SSW;SW;W;WNW;WSW;Albury;BadgerysCreek;Canberra;Cobar;CoffsHarbour;Moree;MountGinini;Newcastle;NorahHead;NorfolkIsland;Penrith;Sydney;SydneyAirport;Tuggeranong;WaggaWagga;Williamtown;Wollongong;New South Wales;Brisbane;Hobart;SydneyAirport;isole;RainTomorrow
0;35908;-0.15815367114623036;-0.4504374719542261;-0.22379728133727683;-0.7673180091663752;-1.614443552409849;-0.8429378429722978;0.9608351310632496;0.9063030667818366;-0.3010821925015807;-0.1988355338567622;0;2011;5;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1
1;33130;-0.31325466807596225;-1.3210261216197845;1.993928406182877;-0.43844255322014836;-1.1948752445881663;1.5998336530930104;1.0742943385006944;1.6268370462280433;-2.877372023738911;-2.69748073191804;1;2011;9;29;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1
2;13720;0.2451089208710725;1.5710988840488487;-0.28777013770805054;0.21930835867230553;1.1914195061476545;0.2737576980861289;-1.0247009990920348;-2.023868449632737;-0.3742722445253689;-0.3318994793156436;0;2014;11;7;45;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
3;48341;-2.2054868306186917;-3.19500507937446;-0.28777013770805054;-0.5480677052022239;-1.929119783276111;1.3206597678284038;1.5281311682504737;1.963086236636273;-0.28644418209681977;-0.53888783891835;0;2015;5;31;22;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
4;46710;-1.8642646373732812;-1.926011454438223;-0.28777013770805054;-0.2740048252470348;0.7194051598482611;1.1810728251961005;0.05316147156369106;-0.5828004907403237;0.02095403640309394;-0.11012623688416896;0;2010;5;14;19;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
5;36074;0.9585735067478391;0.626731535259091;-0.28777013770805054;-0.10956709727392143;-0.5917458020944975;1.1112793538799488;0.39353909387602554;0.9543386654115837;-2.5406977844294922;-2.002591238966096;0;2012;2;6;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1
6;34199;-0.2977445683829891;1.880969420370488;-0.28777013770805054;0.7126215425916458;0.7718511983259717;0.9716924112476455;-2.272752280903928;-2.2640464427814724;-0.8866026086918861;-1.5294749884456103;0;2014;10;31;44;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
7;37108;-0.4063152662338013;0.22832655998841198;-0.28777013770805054;0.05487063069919192;0.3522828905042886;-0.9825247856046011;0.7906463199070823;1.0504098626710778;0.4015423069267958;0.36299001363630023;0;2016;5;7;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
8;43730;0.46225031657269716;0.626731535259091;0.09606700051659152;2.2473736703407043;-1.929119783276111;0.2039642267699772;0.73391671618836;-1.2552988715567832;-0.798774546263337;-0.5536727217471183;1;2009;12;18;51;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1
9;21047;1.2842856003002763;0.42015117771133165;-0.20247299588035228;-0.2740048252470348;0.22116779431001274;-0.3543835437592361;1.414671960813029;1.1945166585603193;-0.5645663797872115;-0.15448088537047397;0;2010;12;13;50;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1
10;45153;-0.48386576469866727;-0.31763581353066667;-0.010554426768031266;-0.4932551292111861;0.7194051598482611;-0.7033509003399944;1.698319979406641;1.098445461300825;0.2990762340934857;0.5699783732390235;1;2014;3;30;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1
11;567;-1.9573252355311201;-1.4095605605688242;-0.26644585225112594;-0.3288174012380726;0.7456281790871162;-1.7502529700822693;0.73391671618836;0.041662291446388666;1.2505469104027487;1.1022341550745491;0;2010;8;7;31;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
12;48039;-3.0430322140392434;-3.549142835170619;0.33063414054276163;0.27412093466334336;0.693182140609406;-0.6335574290238427;-1.8189154511541485;1.2905878558198134;0.928510681498074;1.6344899369101085;1;2014;8;2;31;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
13;1532;-1.941815135838147;-1.483339259693024;-0.28777013770805054;-0.6576928571842996;-1.6668895908875594;-1.610666027449966;1.1310239422194168;0.08969789007613578;2.772899992497523;2.580722437951047;0;2013;7;9;28;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
14;49027;-0.7475374594792116;-1.099690024247185;-0.28777013770805054;-0.3836299772291105;0.50962100593742;-0.6335574290238427;-0.7410529804984227;0.3298758832248713;1.2505469104027487;1.3979318116498487;0;2017;4;18;16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
15;13081;0.8189826095110806;-0.4209259923045463;-0.20247299588035228;0.8770592705647592;-1.7717816678429803;-0.49397048639153945;1.1310239422194168;1.2425522571900665;-0.6670324526205216;-0.4797483076032934;0;2012;9;29;39;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
